id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,oVdok64V
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,PJww3Bbh
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,sucY1D56
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,z2dLBmRU
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,B3kQVFO8
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,9qKgJLjr
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,TLaI56E4
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,JmTYBb7v
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,YFWdq4XW
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,0TGlrm3c
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,9vGqXvLL
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,4vbFU8Ez
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,4nMSypuT
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,KC8YWWxe
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,1Uf23ttf
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,3QfnfKvk
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,M8xYPM9k
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,Vlxjgu8Y
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,MJSwxVEe
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,NnaDw0U5
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,SWno54YP
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,QTSwiEJg
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,S929L8l9
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,9PGCDP4c
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,D7F87P4Y
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,pcMMit2m
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,EcXYvLYS
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,MyzOb1rT
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,axAPIypw
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,n9NxGXLi
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,Pvl8ObuM
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,ysnGRKrX
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,mzjjOZxr
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,BVFv8yQ2
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,mCblPR08
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,dKevUL4T
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,IkLx4lc8
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,CL1mdrvN
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,NvPsx5Jp
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,DfSeYIsN
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,EPg3XKzT
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,qvbBc7zl
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,nd9YocLR
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,EotgbnH7
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,e8xkMcTr
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,H2XfXuGe
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,r6PNfQlR
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,9iVeOLqc
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,5U1w5SCX
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,j4z1eb6L
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,AsbcCGTW
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,3dxKI0hC
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,3RWzrBDl
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,07P7xxFx
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,kMUrOVzU
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,5FnA6qUB
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,1fNOq7ML
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,Ei0HFTPy
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,5wJVojQd
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,MA8MPrI2
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,2ixPLu80
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,xK2PY8TT
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,SZ4pmHeI
